ABATIÁ;"AV JOÃO CARVALHO DE MELLO, 135";"(43) 3556-1011";gabinete@abatia.pr.gov.br
ABATIÁ;"AV JOÃO CARVALHO DE MELLO, 135";"(43) 3556-1011";
ADRIANÓPOLIS;"R MAL. MASCARENHAS DE MORAIS, 57";"(41) 3678-1509";cidebassete@gmail.com
ADRIANÓPOLIS;"R MAL. MASCARENHAS DE MORAIS, 57";"(41) 3678-1282";
"AGUDOS DO SUL";"AV BRASIL, 277, CENTRO";"(41) 3624-1244";gabineteagudos@onda.com.br
"AGUDOS DO SUL";"AV BRASIL, 277, CENTRO";"(41) 3624-1244";
"ALMIRANTE TAMANDARÉ";"AV EMÍLIO JONHSON, 360";"(41) 3699-8600";gabinete@tamandare.pr.gov.br
"ALMIRANTE TAMANDARÉ ";"AV EMÍLIO JONHSON, 360";"(41) 3699-8600";
"ALTAMIRA DO PARANÁ";"R CANTÚ, 180";"(42) 3655-1142";elzadk@yahoo.com.br
"ALTAMIRA DO PARANÁ";"R CANTÚ, 180";"(42) 3755-1142";
ALTÔNIA;"R RUI BARBOSA, 815, CENTRO";"(44) 3659-8181";admpma@altonia.pr.gov.br
ALTÔNIA;"R RUI BARBOSA, 815, CENTRO";"(44) 3659-8150";
"ALTO PARAÍSO";"AV PEDRO AMARO DOS SANTOS, 1546";"(44) 3664-1320";altoparaiso@pref.pr.gov.br
"ALTO PARAÍSO";"AV PEDRO AMARO DOS SANTOS, 1546";"(44) 3664-1320";
"ALTO PARANÁ";"R JOSÉ DE ANCHIETA, 1641";"(44) 3447-1122";pmaltopr@altoparana.pr.gov.br
"ALTO PARANÁ ";"R JOSÉ DE ANCHIETA, 1641";"(44) 3447-1122";
"ALTO PIQUIRI";"R SANTOS DUMONT, 341, CENTRO";"(44) 3656-8000";prefeito@altopiquiri.pr.gov.br
"ALTO PIQUIRI";"R SANTOS DUMONT, 341, CENTRO";"(44) 3656-1213";
"ALVORADA DO SUL";"PÇ PREF. ANTONIO DE SOUZA LEMOS, 32";"(43) 3661-1177";marcos.pinduca@uol.com.br
"ALVORADA DO SUL";"PÇ PREF. ANTONIO DE SOUZA LEMOS, 32";"(43) 3661-1177";
AMAPORÃ;"R SETE DE SETEMBRO, 21";"(44) 3437-8300";contabilidadeamapora@hotmail.com
AMAPORÃ;"R SETE DE SETEMBRO, 21";"(44) 3437-8300";
AMPÉRE;"R MARINGÁ, 279, CENTRO";"(46) 3547-1122";adm@ampere.pr.gov.br
"AMPÉRE ";"R MARINGÁ, 279, CENTRO";"(46) 3547-1122";
ANAHY;"R RIO DA AREIA, 591, CENTRO";"(45) 3249-1149";prefeitura_anahy@hotmail.com
ANAHY;"R RIO DA AREIA, 591";"(45) 3249-1149";
ANDIRÁ;"R MAURO CARDOSO DE OLIVEIRA, 190, JD. VESPER";"(43) 3538-8100";ionealvesabib@bol.com.br
ANDIRÁ;"R MAURO CARDOSO DE OLIVEIRA, 190, JD. VESPER";"(43) 3538-8100";
ÂNGULO;"AV VALÉRIO OSMAR ESTEVÃO, 72";"(44) 3256-1133";prefeito@angulo.pr.gov.br
ÂNGULO;"AV VALÉRIO OSMAR ESTEVÃO, 72";"(44) 3256-1133";
ANTONINA;"R XV DE NOVEMBRO, 150, CENTRO";"(41) 3978-1045";gabinete@antonina.pr.gov.br
"ANTÔNIO OLINTO";"AV REINALDO MACHIAVELLI, 202";"(42) 3533-1222";fmachiavelli@yahoo.com.br
"ANTÔNIO OLINTO";"AV REINALDO MACHIAVELLI, 202";"(42) 3533-1222";
APUCARANA;"R JOSÉ DE OLIVEIRA ROSA, 25, CENTRO CIVICO";"(43) 3422-4000";atooficiais.apucarana@gmail.com
APUCARANA;"R JOSÉ DE OLIVEIRA ROSA, 25, CENTRO CIVICO";"(43) 3422-4000";
ARAPONGAS;"R GARÇAS , 750";"(43) 3902-1000";gabinete@arapongas.pr.gov.br
ARAPONGAS;"R GARÇAS , 750";"(43) 3902-1000";
ARAPOTI;"R PLACÍDIO LEITE, 148, CENTRO CÍVICO";"(43) 3512-3000";chefia.gabinete@arapoti.pr.gov.br
ARAPUÃ;"R PRES. CAFÉ FILHO, SN";"(43) 3444-1230";prefeituradearapua@gmail.com
ARAPUÃ;"R PRES. CAFÉ FILHO, SN";"(43) 3444-1230";
ARARUNA;"PÇ NOSSA SENHORA DO ROCIO, 390";"(44) 3562-1383";compras@araruna.pr.gov.br
ARARUNA;"PÇ NOSSA SENHORA DO ROCIO, 390";"(44) 3562-1383";
ARAUCÁRIA;"R PEDRO DRUSZCZ, 111, CENTRO";"(41) 3614-1400";prefeito@araucaria.pr.gov.vr
ARAUCÁRIA;"R PEDRO DRUSZCZ, 111, CENTRO";"(41) 3614-1511";
"ARIRANHA DO IVAÍ";"R MIGUEL VERENKA, 140";"(43) 3433-1244";acattovice@hotmail.com
"ARIRANHA DO IVAÍ";"RUA MIGUEL VERENKA, 140";"(43) 3433-1013";
ASSAÍ;"AV RIO DE JANEIRO, 720 - 1° ANDAR";"(43) 3262-1313";
"ASSIS CHATEAUBRIAND";"AV CÍVICA, 99";"(44) 3528-8455";marcelmicheletto@hotmail.com
"ASSIS CHATEAUBRIAND";"AV CÍVICA, 99 - CX. POSTAL 191";"(44) 3528-8455";
ASTORGA;"AV DR. JOSÉ SOARES DE AZEVEDO, 48";"(44) 3234-8700";gabinete@astorga.pr.gov.br
ASTORGA;"AV DR. JOSÉ SOARES DE AZEVEDO, 48, CENTRO";"(44) 3234-8700";
ATALAIA;"PÇ JOSÉ BENTO DOS SANTOS, 02";"(44) 3254-1122";vilhena23@gmail.com
ATALAIA;"PÇ JOSÉ BENTO DOS SANTOS, 02";"(44) 3254-1122";
"BALSA NOVA";"AV BRASIL, 665";"(41) 3636-8000";
BANDEIRANTES;"R FREI RAFAEL PRONER, 1457, CENTRO";"(43) 3542-4525";prefeito@bandeirantes.pr.gov.br
BANDEIRANTES;"R FREI RAFAEL PRONER, 1457, CENTRO";"(43) 3542-4525";
"BARBOSA FERRAZ";"AV PRESIDENTE KENNEDY, 363, CENTRO";"(44) 3275-1177";gabinete.prefeiturabf@hotmail.com
"BARBOSA FERRAZ";"AV PRESIDENTE KENNEDY, 363, CENTRO";"(44) 3275-1177";
BARRACÃO;"R SÃO PAULO, 235";"(49) 3644-1215";marcoaurelioandona@hotmail.com
BARRACÃO;"R SÃO PAULO, 235";"(49) 3644-1215";
"BARRA DO JACARÉ";"R RUI BARBOSA, 96";"(43) 3537-1212";
"BELA VISTA DA CAROBA";"AV RIO DE JANEIRO, SN, CENTRO";"(46) 3557-1122";gabinete@belavistadacaroba.pr.gov.br
"BELA VISTA DA CAROBA";"AV RIO DE JANEIRO, SN";"(46) 3557-1180";
"BELA VISTA DO PARAÍSO";"R JOAQUIM LADEIA, 150, CENTRO";"(43) 3242-1531";gabinetepmbvp@gmail.com
"BELA VISTA DO PARAÍSO";"R JOAQUIM LADEIA, 150";"(43) 3242-1531";
BITURUNA;"AV DR. OSCAR GEYER, 489";"(42) 3553-1505";prefeitura@bituruna.pr.gov.br
